        B      V     N      Y
01     B1     V1     0    111
02     B1     V1     1    130
03     B1     V1     2    157
04     B1     V1     4    174
05     B1     V2     0    117
06     B1     V2     1    114
07     B1     V2     2    161
08     B1     V2     4    141
09     B1     V3     0    105
10     B1     V3     1    140
11     B1     V3     2    118
12     B1     V3     4    156
13     B2     V1     0     61
14     B2     V1     1     91
15     B2     V1     2     97
16     B2     V1     4    100
17     B2     V2     0     70
18     B2     V2     1    108
19     B2     V2     2    126
20     B2     V2     4    149
21     B2     V3     0     96
22     B2     V3     1    124
23     B2     V3     2    121
24     B2     V3     4    144
25     B3     V1     0     68
26     B3     V1     1     64
27     B3     V1     2    112
28     B3     V1     4     86
29     B3     V2     0     60
30     B3     V2     1    102
31     B3     V2     2     89
32     B3     V2     4     96
33     B3     V3     0     89
34     B3     V3     1    129
35     B3     V3     2    132
36     B3     V3     4    124
37     B4     V1     0     74
38     B4     V1     1     89
39     B4     V1     2     81
40     B4     V1     4    122
41     B4     V2     0     64
42     B4     V2     1    103
43     B4     V2     2    132
44     B4     V2     4    133
45     B4     V3     0     70
46     B4     V3     1     89
47     B4     V3     2    104
48     B4     V3     4    117
49     B5     V1     0     62
50     B5     V1     1     90
51     B5     V1     2    100
52     B5     V1     4    116
53     B5     V2     0     80
54     B5     V2     1     82
55     B5     V2     2     94
56     B5     V2     4    126
57     B5     V3     0     63
58     B5     V3     1     70
59     B5     V3     2    109
60     B5     V3     4     99
61     B6     V1     0     53
62     B6     V1     1     74
63     B6     V1     2    118
64     B6     V1     4    113
65     B6     V2     0     89
66     B6     V2     1     82
67     B6     V2     2     86
68     B6     V2     4    104
69     B6     V3     0     97
70     B6     V3     1     99
71     B6     V3     2    119
72     B6     V3     4    121
