                              OQ         AC        pH       TSO
              A            13.54       1.51      3.36      13.8
              B            12.58       1.35      3.15       5.2
              C            11.83       1.09      3.30      10.6
              D            12.83       1.15      3.41       2.2
              E            12.83       1.32      3.44       2.3
              F            12.12       1.23      3.31      10.5
              G            11.29       1.14      3.49       2.5
              H            12.79       1.22      3.56      16.7
              I            12.25       1.32      3.38       1.4
              J            14.04       1.52      3.61       4.5
              K            12.67       1.62      3.38       0.4
              L            13.54       1.57      3.55       7.9
              M            13.75       1.63      3.34       6.3
              N             9.63       0.78      3.19      40.4
              O            12.42       1.14      3.31       3.1
