      Time    Chlor
01       8       49
02       8       49
03      10       47
04      10       47
05      10       48
06      10       48
07      12       43
08      12       45
09      12       46
10      12       46
11      14       43
12      14       43
13      14       45
14      16       43
15      16       43
16      16       44
17      18       45
18      18       46
19      20       42
20      20       43
21      20       42
22      22       40
23      22       41
24      22       41
25      24       40
26      24       40
27      24       42
28      26       40
29      26       41
30      26       41
31      28       40
32      28       41
33      30       38
34      30       40
35      30       40
36      32       40
37      32       41
38      34       40
39      36       38
40      36       41
41      38       40
42      38       40
43      40       39
44      42       39
