       Hard    Dens
01     24.7     484
02     24.8     427
03     27.3     413
04     28.4     517
05     28.4     549
06     29.0     648
07     30.3     587
08     32.7     704
09     35.6     979
10     38.5     914
11     38.8    1070
12     39.3    1020
13     39.4    1210
14     39.9     989
15     40.3    1160
16     40.6    1010
17     40.7    1100
18     40.7    1130
19     42.9    1270
20     45.8    1180
21     46.9    1400
22     48.2    1760
23     51.5    1710
24     51.5    2010
25     53.4    1880
26     56.0    1980
27     56.5    1820
28     57.3    2020
29     57.6    1980
30     59.2    2310
31     59.8    1940
32     66.0    3260
33     67.4    2700
34     68.8    2890
35     69.1    2740
36     69.1    3140
