   Sample       API     Vapour       ASTM      Endpt       Yield
01    1        31.8        0.2        316        365         8.5
02    1        31.8        0.2        316        379        14.7
03    1        31.8        0.2        316        428        18.0
04    2        32.2        2.4        284        351        14.0
05    2        32.2        2.4        284        424        23.2
06    3        32.2        5.2        236        267        10.0
07    3        32.2        5.2        236        360        24.8
08    3        32.2        5.2        236        402        31.7
09    4        38.1        1.2        274        285         5.0
10    4        38.1        1.2        274        365        17.6
11    4        38.1        1.2        274        444        32.1
12    5        38.4        6.1        220        235         6.9
13    5        38.4        6.1        220        300        15.2
14    5        38.4        6.1        220        365        26.0
15    5        38.4        6.1        220        410        33.6
16    6        40.0        6.1        217        212         7.4
17    6        40.0        6.1        217        272        18.2
18    6        40.0        6.1        217        340        30.4
19    7        40.3        4.8        231        307        14.4
20    7        40.3        4.8        231        367        26.8
21    7        40.3        4.8        231        395        34.9
22    8        40.8        3.5        210        218         8.0
23    8        40.8        3.5        210        273        13.1
24    8        40.8        3.5        210        347        26.6
25    9        41.3        1.8        267        235         2.8
26    9        41.3        1.8        267        275         6.4
27    9        41.3        1.8        267        358        16.1
28    9        41.3        1.8        267        416        27.8
29   10        50.8        8.6        190        205        12.2
30   10        50.8        8.6        190        275        22.3
31   10        50.8        8.6        190        345        34.7
32   10        50.8        8.6        190        407        45.7

