     Year     Rain0    Rain1   Rain2   Yield
01   1931       .05     1.61    3.52     .31
02   1932      1.15      .6     3.46     .0 
03   1933      2.22     4.94    3.06    5.47
04   1934      1.19    11.26    4.91   16.73
05   1935      1.4     10.95    4.23   10.54
06   1936      2.96     4.96     .11    5.89
07   1937      2.68      .67    2.17     .03
08   1938      3.66     8.49   11.95   16.03
09   1939      5.15     3.6     2.18    6.57
10   1940      6.44     2.69    1.37    8.43
11   1941      2.01     6.88     .92    8.68
12   1942       .73     3.3     3.97    2.49
13   1943      2.52     1.93    1.16     .98
14   1944      3.3      4.19    2.11    4.6 
15   1945       .44     3.41    1.55     .35
16   1946       .5      3.26    1.2      .0 
17   1947       .18     1.52    1.8      .0 
18   1948       .8      3.25    3.55    2.98
19   1949      7.08     5.93     .93   11.89
20   1950      2.54     4.71    2.51    6.56
21   1951      1.08     3.37    4.02    1.3 
22   1952       .22     3.24    4.93     .03
23   1953       .55     1.78    1.97     .0 
24   1954      1.65     3.22    1.65    3.09
25   1955       .72     3.42    3.31    2.72

