	Species  Exposure  Rel.Hum    Temp   Deaths
01            1       1       60.0       10       0
02            1       1       60.0       15       0
03            1       1       60.0       20       0
04            1       1       65.8       10       0
05            1       1       65.8       15       0
06            1       1       65.8       20       0
07            1       1       70.5       10       0
08            1       1       70.5       15       0
09            1       1       70.5       20       0
10            1       1       75.8       10       0
11            1       1       75.8       15       0
12            1       1       75.8       20       0
13            1       2       60.0       10       0
14            1       2       60.0       15       1
15            1       2       60.0       20       1
16            1       2       65.8       10       0
17            1       2       65.8       15       1
18            1       2       65.8       20       0
19            1       2       70.5       10       0
20            1       2       70.5       15       0
21            1       2       70.5       20       0
22            1       2       75.8       10       0
23            1       2       75.8       15       0
24            1       2       75.8       20       0
25            1       3       60.0       10       1
26            1       3       60.0       15       4
27            1       3       60.0       20       5
28            1       3       65.8       10       0
29            1       3       65.8       15       2
30            1       3       65.8       20       4
31            1       3       70.5       10       0
32            1       3       70.5       15       2
33            1       3       70.5       20       3
34            1       3       75.8       10       0
35            1       3       75.8       15       1
36            1       3       75.8       20       2
37            1       4       60.0       10       7
38            1       4       60.0       15       7
39            1       4       60.0       20       7
40            1       4       65.8       10       4
41            1       4       65.8       15       4
42            1       4       65.8       20       7
43            1       4       70.5       10       3
44            1       4       70.5       15       3
45            1       4       70.5       20       5
46            1       4       75.8       10       2
47            1       4       75.8       15       3
48            1       4       75.8       20       3
49            2       1       60.0       10       0
50            2       1       60.0       15       0
51            2       1       60.0       20       0
52            2       1       65.8       10       0
53            2       1       65.8       15       0
54            2       1       65.8       20       0
55            2       1       70.5       10       0
56            2       1       70.5       15       0
57            2       1       70.5       20       0
58            2       1       75.8       10       0
59            2       1       75.8       15       0
60            2       1       75.8       20       0
61            2       2       60.0       10       0
62            2       2       60.0       15       3
63            2       2       60.0       20       2
64            2       2       65.8       10       0
65            2       2       65.8       15       2
66            2       2       65.8       20       1
67            2       2       70.5       10       0
68            2       2       70.5       15       0
69            2       2       70.5       20       1
70            2       2       75.8       10       1
71            2       2       75.8       15       0
72            2       2       75.8       20       1
73            2       3       60.0       10       7
74            2       3       60.0       15      11
75            2       3       60.0       20      11
76            2       3       65.8       10       4
77            2       3       65.8       15       5
78            2       3       65.8       20       9
79            2       3       70.5       10       2
80            2       3       70.5       15       4
81            2       3       70.5       20       6
82            2       3       75.8       10       2
83            2       3       75.8       15       3
84            2       3       75.8       20       5
85            2       4       60.0       10      12
86            2       4       60.0       15      14
87            2       4       60.0       20      16
88            2       4       65.8       10      10
89            2       4       65.8       15      12
90            2       4       65.8       20      12
91            2       4       70.5       10       5
92            2       4       70.5       15       7
93            2       4       70.5       20       9
94            2       4       75.8       10       4
95            2       4       75.8       15       5
96            2       4       75.8       20       7

