   Block    V    N    P    K     No    Wt
01     I    a    -    -    -    124   162  
02     I    a    -    -    k    131   152  
03     I    a    -    p    -    115   173  
04     I    a    -    p    k    126   140  
05     I    a    n    -    -    136   184  
06     I    a    n    -    k    134   112  
07     I    a    n    p    -    132   190  
08     I    a    n    p    k    120   175  
09     I    b    -    -    -    145   133  
10     I    b    -    -    k    156   117  
11     I    b    -    p    -    152   140  
12     I    b    -    p    k    137   127  
13     I    b    n    -    -    124   163  
14     I    b    n    -    k    136   143  
15     I    b    n    p    -    140   168  
16     I    b    n    p    k    146   144  
17     I    c    -    -    -    113   122  
18     I    c    -    -    k     91   107  
19     I    c    -    p    -    123   118  
20     I    c    -    p    k    129   140  
21     I    c    n    -    -    121   118  
22     I    c    n    -    k    126   148  
23     I    c    n    p    -    103   112  
24     I    c    n    p    k    120   162  
25    II    a    -    -    -    133   162  
26    II    a    -    -    k    161   164  
27    II    a    -    p    -    134   175  
28    II    a    -    p    k    133   158  
29    II    a    n    -    -    134   178  
30    II    a    n    -    k    156   193  
31    II    a    n    p    -    104   166  
32    II    a    n    p    k    147   155  
33    II    b    -    -    -    147   130  
34    II    b    -    -    k    152   137  
35    II    b    -    p    -    138   101  
36    II    b    -    p    k    145   132  
37    II    b    n    -    -    138   159  
38    II    b    n    -    k    142   144  
39    II    b    n    p    -    142   150  
40    II    b    n    p    k    135   160  
41    II    c    -    -    -    138   132  
42    II    c    -    -    k    149   171  
43    II    c    -    p    -    139   142  
44    II    c    -    p    k    126   115  
45    II    c    n    -    -    141   152  
46    II    c    n    -    k    128   152  
47    II    c    n    p    -    144   175  
48    II    c    n    p    k    125   160  
49   III    a    -    -    -    114   127  
50   III    a    -    -    k    130   141  
51   III    a    -    p    -    134   142  
52   III    a    -    p    k    106   148  
53   III    a    n    -    -    127   168  
54   III    a    n    -    k    101   171  
55   III    a    n    p    -    119   157  
56   III    a    n    p    k    107   139  
57   III    b    -    -    -    139   138  
58   III    b    -    -    k    107   121  
59   III    b    -    p    -    125   124  
60   III    b    -    p    k    125   132  
61   III    b    n    -    -    140   166  
62   III    b    n    -    k    133   142  
63   III    b    n    p    -    133   118  
64   III    b    n    p    k    138   155  
65   III    c    -    -    -    119   123  
66   III    c    -    -    k    118   142  
67   III    c    -    p    -    127   120  
68   III    c    -    p    k    129   130  
69   III    c    n    -    -    127   149  
70   III    c    n    -    k    107   147  
71   III    c    n    p    -    102   152  
72   III    c    n    p    k    129   173  
73    IV    a    -    -    -    127   158  
74    IV    a    -    -    k    145   188  
75    IV    a    -    p    -    109   162  
76    IV    a    -    p    k    132   160  
77    IV    a    n    -    -    139   199  
78    IV    a    n    -    k    138   191  
79    IV    a    n    p    -    132   193  
80    IV    a    n    p    k    148   192  
81    IV    b    -    -    -    127   128  
82    IV    b    -    -    k    147   147  
83    IV    b    -    p    -    120   143  
84    IV    b    -    p    k    143   139  
85    IV    b    n    -    -    159   174  
86    IV    b    n    -    k    148   159  
87    IV    b    n    p    -    138   157  
88    IV    b    n    p    k    140   153  
89    IV    c    -    -    -    127   146  
90    IV    c    -    -    k    129   151  
91    IV    c    -    p    -    124   138  
92    IV    c    -    p    k    142   152  
93    IV    c    n    -    -    127   165  
94    IV    c    n    -    k    110   136  
95    IV    c    n    p    -    143   173  
96    IV    c    n    p    k    137   185  
